#
Processors:8
Tasks:22
# task computation cost on each processor
0 6 5 4 5 2 6 7 1 
1 25 14 8 23 14 16 28 28 
2 74 82 84 52 48 39 57 51 
3 12 11 3 8 12 10 8 2 
4 74 77 75 50 25 30 46 95 
5 13 14 12 5 10 18 9 15 
6 80 80 65 73 68 43 27 28 
7 27 22 24 8 14 16 28 9 
8 9 4 10 6 9 11 8 7 
9 49 23 24 40 34 37 39 39 
10 22 17 15 22 19 5 21 16 
11 39 34 38 37 30 21 20 33 
12 21 40 57 36 71 80 56 36 
13 33 26 20 11 28 27 33 23 
14 18 22 5 22 24 20 19 6 
15 66 79 76 113 99 92 36 54 
16 17 19 6 21 9 19 18 9 
17 16 16 12 15 12 4 15 6 
18 22 37 27 35 35 50 65 63 
19 9 9 6 8 7 2 7 9 
20 55 24 85 23 31 32 78 92 
21 7 4 6 1 6 6 2 4 
Dependencies:34
# from_task_id to_task_id weight
0 1 12
0 3 12
0 6 7
0 9 12
0 12 8
0 14 11
1 2 5
1 18 8
2 16 11
3 4 5
3 15 12
3 20 5
4 5 7
4 8 10
5 21 6
6 7 9
6 13 10
7 8 10
7 10 7
8 21 10
9 10 10
10 11 10
10 13 13
10 17 11
11 21 10
12 13 9
13 21 6
14 15 9
15 19 11
16 17 4
17 21 11
18 21 12
19 20 6
20 21 7
