#
Processors:8
Tasks:21
# task computation cost on each processor
0 28 10 34 31 25 32 21 18 
1 20 16 16 11 6 22 6 25 
2 77 71 57 67 19 64 56 89 
3 5 5 5 2 5 3 3 3 
4 37 41 28 41 44 42 11 28 
5 61 90 99 66 43 64 90 82 
6 42 50 46 11 31 18 19 40 
7 52 18 53 61 37 29 19 36 
8 66 98 75 83 48 23 71 46 
9 14 12 14 13 9 7 6 14 
10 12 6 8 15 4 7 10 12 
11 32 36 15 21 29 32 11 19 
12 12 13 14 27 22 26 11 24 
13 47 47 30 28 48 34 47 37 
14 46 28 30 29 57 60 58 62 
15 20 39 35 45 36 39 23 31 
16 59 16 32 70 36 73 61 30 
17 20 21 40 17 38 26 38 42 
18 4 7 7 9 9 15 9 19 
19 75 38 48 55 24 58 26 80 
20 23 23 12 7 6 24 8 28 
Dependencies:32
# from_task_id to_task_id weight
0 1 10
0 4 10
0 6 8
0 8 7
0 11 13
0 14 5
0 16 14
1 2 11
2 3 5
2 18 13
3 9 11
4 5 6
4 19 14
5 20 7
6 7 14
6 13 6
7 20 5
8 9 10
9 10 15
10 20 8
11 12 7
12 13 12
12 15 9
12 17 13
13 20 12
14 15 15
14 17 8
15 20 13
16 17 12
17 20 11
18 19 12
19 20 7
