#
Processors:8
Tasks:23
# task computation cost on each processor
0 30 15 20 25 9 34 33 26 
1 31 36 19 8 24 34 35 19 
2 15 15 4 11 9 18 19 18 
3 52 20 49 60 52 63 60 51 
4 65 59 61 67 74 17 50 61 
5 11 40 26 34 26 22 18 39 
6 84 33 70 71 35 40 72 48 
7 30 32 29 28 30 30 13 26 
8 21 15 11 40 43 43 45 16 
9 17 30 23 32 32 21 17 34 
10 16 24 15 26 10 6 26 29 
11 48 42 38 41 44 22 19 34 
12 70 40 49 21 68 73 22 61 
13 15 17 12 17 21 11 25 9 
14 24 16 52 50 25 51 36 45 
15 17 18 27 22 40 39 16 19 
16 12 20 18 23 12 23 25 22 
17 33 20 22 15 32 26 40 18 
18 25 35 29 22 64 39 59 15 
19 33 36 21 36 44 27 40 47 
20 21 24 32 29 39 30 42 34 
21 10 4 8 5 18 6 19 17 
22 16 4 8 10 13 7 9 13 
Dependencies:34
# from_task_id to_task_id weight
0 1 11
0 3 9
0 4 6
0 6 15
0 11 5
0 16 13
1 2 7
1 9 5
1 18 6
2 15 6
3 8 8
3 17 8
4 5 5
5 14 10
6 7 7
6 10 5
6 13 9
7 22 8
8 18 9
8 20 9
9 10 10
10 22 12
11 12 11
12 13 13
12 21 8
13 22 8
14 22 5
15 19 12
16 20 13
17 20 13
18 22 5
19 20 14
20 21 5
21 22 9
