#
Processors:8
Tasks:24
# task computation cost on each processor
0 6 6 4 6 2 6 5 3 
1 49 22 48 60 45 25 32 48 
2 12 14 6 9 14 6 13 3 
3 38 24 26 41 14 41 39 41 
4 14 42 15 12 48 43 18 27 
5 46 57 51 64 43 50 28 21 
6 20 8 21 8 15 24 21 18 
7 3 4 14 12 15 7 12 14 
8 73 20 63 24 19 58 23 24 
9 21 39 24 37 24 42 45 14 
10 14 30 18 50 56 23 33 50 
11 12 5 5 12 11 16 11 6 
12 7 6 14 5 12 14 11 14 
13 33 41 41 22 33 29 28 17 
14 50 28 20 13 53 55 20 45 
15 6 10 7 6 18 23 16 11 
16 3 10 9 9 7 11 3 7 
17 63 88 107 109 109 88 68 109 
18 18 28 29 38 27 19 35 10 
19 78 58 46 78 35 72 64 72 
20 37 94 96 96 92 25 59 80 
21 22 43 32 10 30 42 35 36 
22 13 4 8 18 7 5 17 15 
23 7 7 3 3 5 8 7 1 
Dependencies:35
# from_task_id to_task_id weight
0 1 14
0 5 12
0 6 5
0 11 13
0 15 6
1 2 10
2 3 7
2 4 10
2 13 11
3 23 12
4 14 8
5 9 10
5 18 12
6 7 14
7 8 5
7 10 6
7 12 6
7 16 11
8 18 13
9 10 10
9 14 6
10 23 11
11 20 8
11 21 9
12 13 5
13 16 9
14 23 9
15 16 12
16 17 6
17 23 6
18 19 12
19 23 14
20 23 5
21 22 7
22 23 12
