#
Processors:8
Tasks:21
# task computation cost on each processor
0 7 5 4 1 6 2 8 8 
1 68 71 30 17 85 53 22 41 
2 21 10 25 11 16 9 19 9 
3 43 50 21 45 10 35 35 48 
4 23 23 8 8 16 14 7 16 
5 42 76 29 76 90 29 39 57 
6 50 41 72 48 84 23 66 86 
7 21 29 27 6 14 14 25 14 
8 68 90 81 79 67 58 83 97 
9 19 13 8 20 25 22 15 21 
10 20 15 12 19 17 14 17 19 
11 22 12 21 21 18 5 21 17 
12 32 34 79 64 63 36 32 50 
13 15 16 6 3 13 14 12 5 
14 42 72 53 26 60 94 39 29 
15 22 55 16 39 44 37 61 32 
16 36 31 35 34 44 12 38 10 
17 10 7 24 9 23 22 7 19 
18 20 35 35 13 37 29 37 41 
19 37 35 47 45 22 26 18 38 
20 21 15 24 13 20 17 5 23 
Dependencies:29
# from_task_id to_task_id weight
0 1 14
0 4 8
0 6 13
0 8 15
0 13 11
0 15 15
1 2 10
1 7 6
2 3 16
3 20 10
4 5 15
5 10 15
5 17 5
6 7 15
6 9 13
7 20 14
8 9 13
9 20 7
10 11 7
10 18 12
11 12 12
12 20 14
13 14 12
14 20 14
15 16 14
16 18 8
17 18 9
18 19 13
19 20 5
