#
Processors:8
Tasks:22
# task computation cost on each processor
0 25 26 14 17 11 29 27 8 
1 83 47 67 21 85 37 95 103 
2 16 14 19 19 13 12 8 17 
3 89 95 32 52 111 85 69 108 
4 8 21 16 10 7 13 13 5 
5 16 18 21 12 7 19 11 21 
6 20 28 47 45 56 18 47 41 
7 11 10 31 38 11 28 19 11 
8 33 59 45 55 69 67 21 22 
9 12 25 19 44 54 33 16 54 
10 18 27 28 19 28 22 18 18 
11 19 39 57 41 58 70 22 20 
12 10 13 4 12 12 8 7 7 
13 27 26 24 31 25 45 54 44 
14 52 35 22 51 34 46 53 40 
15 18 57 41 50 38 50 46 55 
16 19 19 41 39 20 36 40 28 
17 17 17 24 24 22 7 21 11 
18 31 36 30 19 18 24 37 19 
19 48 15 34 42 52 26 51 45 
20 46 97 85 83 44 93 57 91 
21 10 3 10 11 5 9 3 5 
Dependencies:31
# from_task_id to_task_id weight
0 1 13
0 3 7
0 5 8
0 8 6
0 10 14
0 13 16
0 19 11
1 2 15
1 12 12
2 21 14
3 4 7
4 11 7
5 6 16
5 11 16
6 7 9
7 17 8
8 9 14
8 18 7
9 14 6
10 11 13
11 12 13
12 21 13
13 14 6
13 20 16
14 15 8
15 16 7
16 17 8
17 18 13
18 21 13
19 20 15
20 21 10
