#
Processors:8
Tasks:22
# task computation cost on each processor
0 7 5 2 3 3 2 5 3 
1 73 90 20 37 73 18 19 71 
2 38 30 40 25 47 21 24 29 
3 23 12 9 9 16 14 20 15 
4 50 66 52 81 64 19 22 70 
5 40 33 38 23 34 20 13 39 
6 12 6 18 6 18 12 10 5 
7 27 15 22 6 17 13 23 9 
8 55 18 74 43 46 43 92 92 
9 42 34 30 36 14 11 13 10 
10 41 20 27 63 16 46 72 23 
11 23 45 15 27 39 41 19 39 
12 71 16 27 37 60 70 70 19 
13 37 14 16 22 27 33 21 38 
14 16 45 22 19 40 53 37 26 
15 3 5 15 12 7 12 14 3 
16 26 14 24 8 25 14 23 18 
17 28 50 74 70 64 75 67 19 
18 7 5 4 4 6 3 9 4 
19 41 48 53 42 42 62 18 50 
20 12 23 48 45 17 48 42 49 
21 40 12 38 38 27 20 11 22 
Dependencies:30
# from_task_id to_task_id weight
0 1 7
0 6 13
0 8 16
0 9 12
0 11 10
0 19 6
1 2 12
1 3 11
2 3 11
2 4 14
3 21 11
4 5 5
5 21 8
6 7 14
7 14 12
8 16 8
9 10 6
9 12 8
10 13 7
11 12 13
12 13 14
13 21 7
14 15 5
14 18 6
15 21 15
16 17 15
17 18 10
18 21 7
19 20 12
20 21 6
