#
Processors:8
Tasks:22
# task computation cost on each processor
0 12 11 14 6 6 14 8 4 
1 4 3 4 1 1 4 3 3 
2 14 13 16 15 4 13 3 4 
3 82 34 86 58 100 71 49 64 
4 20 38 19 44 26 20 41 33 
5 22 61 15 49 64 66 23 72 
6 14 11 17 8 7 8 15 20 
7 53 100 82 70 60 58 100 45 
8 4 16 14 17 5 15 7 9 
9 34 24 36 31 25 27 15 17 
10 63 16 61 51 45 46 41 18 
11 27 33 20 16 34 42 14 20 
12 14 11 11 5 14 14 10 11 
13 31 36 19 52 51 57 25 36 
14 43 49 66 55 49 58 70 33 
15 42 43 39 12 34 37 11 29 
16 5 9 7 9 2 8 9 7 
17 12 20 8 23 15 24 21 9 
18 69 75 23 75 65 60 78 36 
19 35 46 33 32 33 16 26 38 
20 87 44 70 73 95 54 49 93 
21 0 0 0 0 0 0 0 0 
Dependencies:32
# from_task_id to_task_id weight
0 1 15
0 2 6
0 4 12
0 6 8
0 14 15
0 17 8
0 19 7
1 20 13
2 3 12
2 7 13
2 9 11
3 21 15
4 5 6
4 10 5
4 13 13
5 11 13
6 7 6
7 8 12
8 18 7
9 10 6
9 13 12
10 21 11
11 12 7
12 15 15
13 21 5
14 15 8
15 16 8
16 21 7
17 18 9
18 21 15
19 20 14
20 21 11
