#
Processors:8
Tasks:20
# task computation cost on each processor
0 24 11 19 28 18 20 15 15 
1 37 12 32 44 14 33 24 9 
2 62 34 70 43 45 69 56 42 
3 9 19 17 16 9 10 9 12 
4 77 80 92 65 44 34 26 28 
5 29 46 46 51 21 49 56 54 
6 24 42 53 37 53 41 38 14 
7 17 14 12 16 15 14 17 19 
8 57 24 58 65 70 42 30 41 
9 23 26 11 32 22 21 16 22 
10 53 29 99 55 79 40 58 62 
11 20 16 14 20 20 23 17 8 
12 67 29 52 35 68 75 42 54 
13 24 20 8 17 28 24 16 21 
14 23 24 14 36 15 31 30 9 
15 10 17 32 18 9 21 30 24 
16 46 45 44 17 33 19 38 36 
17 7 19 7 17 16 7 11 17 
18 89 74 102 55 81 54 35 82 
19 5 5 3 6 1 3 4 4 
Dependencies:25
# from_task_id to_task_id weight
0 1 6
0 3 7
0 5 8
0 7 10
0 10 16
1 2 8
1 6 6
2 14 12
3 4 17
4 17 19
5 6 14
6 19 15
7 8 12
8 9 10
8 13 15
9 15 13
10 11 14
11 12 17
12 13 17
13 19 7
14 15 6
15 16 14
16 19 10
17 18 14
18 19 8
