#
Processors:8
Tasks:21
# task computation cost on each processor
0 45 25 22 13 31 35 47 31 
1 52 33 41 52 40 17 49 28 
2 47 43 27 22 39 58 37 49 
3 13 49 26 32 24 15 47 20 
4 36 50 51 58 62 20 60 33 
5 6 19 16 12 15 10 9 9 
6 59 90 94 112 24 47 39 94 
7 75 25 47 66 34 39 44 71 
8 26 28 30 33 21 15 11 35 
9 27 21 8 25 29 35 17 22 
10 9 20 6 21 19 17 21 23 
11 62 42 25 33 50 19 43 32 
12 3 11 11 3 9 12 7 10 
13 51 67 23 55 33 56 66 61 
14 23 32 32 35 28 31 22 31 
15 59 101 25 41 106 24 92 54 
16 17 25 13 48 46 36 44 48 
17 56 48 32 51 41 33 52 46 
18 23 27 27 39 30 51 42 42 
19 10 13 7 9 6 13 3 11 
20 2 1 1 0 2 1 0 2 
Dependencies:30
# from_task_id to_task_id weight
0 1 9
0 3 7
0 4 16
0 5 16
0 7 12
0 9 12
0 12 16
0 15 13
1 2 11
2 10 16
2 17 14
3 11 8
4 17 10
5 6 5
5 13 5
6 20 10
7 8 11
7 14 6
8 20 8
9 10 12
10 11 16
11 17 13
12 13 6
13 14 7
14 20 13
15 16 10
16 18 9
17 20 13
18 19 12
19 20 13
