#
Processors:8
Tasks:22
# task computation cost on each processor
0 3 2 2 1 0 2 3 1 
1 15 9 11 5 8 18 15 17 
2 64 26 34 37 20 42 76 66 
3 19 7 11 10 7 17 17 11 
4 7 21 8 23 7 8 18 19 
5 57 95 89 55 108 107 71 65 
6 70 62 71 26 77 18 43 67 
7 26 22 28 34 27 24 24 7 
8 7 22 14 18 13 12 21 8 
9 56 70 80 81 97 86 31 36 
10 48 23 57 80 88 110 92 45 
11 6 6 5 10 11 6 10 12 
12 37 55 17 57 65 61 59 44 
13 31 25 28 38 36 41 24 14 
14 22 33 7 7 30 28 36 29 
15 32 61 71 60 35 30 64 57 
16 21 26 10 9 10 11 25 22 
17 26 13 41 32 36 36 43 46 
18 58 43 65 58 16 55 15 54 
19 9 31 12 23 27 26 16 27 
20 11 21 5 9 21 12 5 17 
21 44 54 47 31 23 29 15 46 
Dependencies:30
# from_task_id to_task_id weight
0 1 13
0 4 11
0 6 9
0 8 12
0 10 8
1 2 16
1 9 14
2 3 7
2 11 17
2 20 11
3 13 17
4 5 15
5 21 15
6 7 9
6 14 17
7 12 14
7 15 8
8 9 15
9 21 9
10 17 12
11 19 8
12 14 12
13 18 18
14 21 12
15 16 10
16 17 14
17 21 7
18 19 17
19 20 14
20 21 8
