#
Processors:8
Tasks:22
# task computation cost on each processor
0 38 26 9 32 28 21 28 29 
1 25 21 11 18 11 21 24 14 
2 17 19 17 17 16 19 18 11 
3 56 50 36 29 18 57 45 55 
4 37 55 41 21 44 27 56 26 
5 17 44 47 14 52 44 14 17 
6 24 50 45 13 32 35 21 56 
7 108 87 93 78 68 97 74 71 
8 7 24 24 10 10 14 17 7 
9 54 48 19 47 17 50 30 23 
10 42 56 84 76 24 82 29 41 
11 16 10 3 14 17 14 15 4 
12 12 10 12 12 27 9 26 7 
13 73 65 66 80 72 84 40 20 
14 51 16 30 17 51 43 14 41 
15 13 14 30 12 24 39 25 35 
16 55 54 30 44 33 51 63 61 
17 17 14 32 26 23 7 28 17 
18 52 63 60 44 58 27 71 79 
19 6 18 7 4 5 5 9 18 
20 64 37 88 69 51 69 78 81 
21 27 7 10 21 26 7 22 13 
Dependencies:34
# from_task_id to_task_id weight
0 1 14
0 4 15
0 6 12
0 9 8
0 12 11
0 14 11
0 17 9
1 2 9
1 13 10
1 18 10
2 3 13
2 16 15
2 19 9
3 21 12
4 5 11
5 15 14
6 7 8
6 15 14
7 8 13
8 21 14
9 10 7
9 15 15
9 20 10
10 11 7
11 21 8
12 13 7
13 19 14
14 15 14
15 16 12
16 21 11
17 18 12
18 21 12
19 20 6
20 21 7
