#
Processors:8
Tasks:21
# task computation cost on each processor
0 14 12 9 3 8 9 6 15 
1 11 9 3 12 5 11 8 9 
2 60 27 66 53 33 56 66 65 
3 28 21 30 17 15 18 21 23 
4 31 32 18 25 17 13 26 15 
5 119 99 53 98 75 39 63 51 
6 31 15 49 30 60 31 50 45 
7 28 36 42 17 35 33 17 26 
8 30 32 29 28 20 26 34 9 
9 22 35 14 34 27 9 33 15 
10 19 56 63 65 46 79 24 46 
11 6 10 12 10 10 5 9 13 
12 102 87 48 25 89 100 56 70 
13 8 12 11 16 16 22 26 19 
14 41 24 26 30 41 42 16 28 
15 24 24 44 37 28 35 23 21 
16 48 46 64 70 51 21 57 58 
17 11 17 25 16 13 41 42 46 
18 5 7 20 18 10 20 17 20 
19 59 52 74 34 95 34 66 79 
20 18 12 10 18 8 17 15 15 
Dependencies:29
# from_task_id to_task_id weight
0 1 10
0 3 16
0 4 10
0 6 10
0 9 14
0 11 6
0 13 16
1 2 7
2 20 12
3 14 16
4 5 7
5 20 13
6 7 10
6 17 11
7 8 13
8 20 11
9 10 9
10 20 7
11 12 9
11 19 8
12 20 12
13 14 11
14 15 7
14 18 14
15 16 17
16 17 9
17 20 13
18 19 9
19 20 12
