#
Processors:8
Tasks:23
# task computation cost on each processor
0 39 28 37 22 26 29 34 10 
1 19 13 14 21 6 14 7 14 
2 79 71 37 81 57 86 36 83 
3 47 32 37 37 26 19 23 45 
4 33 39 10 26 12 10 22 40 
5 35 60 34 48 43 17 40 68 
6 17 15 15 8 5 6 11 9 
7 27 15 32 22 32 21 18 35 
8 73 49 80 87 58 25 28 94 
9 23 17 39 66 37 58 49 81 
10 38 32 28 33 16 29 15 29 
11 22 34 15 10 36 14 15 35 
12 22 68 63 37 63 18 61 25 
13 19 10 13 7 14 18 22 14 
14 13 20 20 20 30 44 43 19 
15 44 22 31 34 21 47 46 55 
16 15 8 15 18 9 5 15 6 
17 29 46 38 41 46 28 39 18 
18 45 12 20 44 37 25 45 50 
19 3 9 10 9 14 13 16 13 
20 30 23 74 32 58 25 21 60 
21 11 10 29 18 30 10 29 25 
22 45 18 15 30 11 50 47 31 
Dependencies:34
# from_task_id to_task_id weight
0 1 9
0 4 6
0 9 6
0 13 9
0 14 9
1 2 5
2 3 14
2 6 6
2 7 5
2 16 13
3 22 15
4 5 6
5 11 5
6 8 11
7 8 14
7 16 5
7 19 14
8 22 11
9 10 5
9 21 13
10 22 11
11 12 10
12 22 9
13 17 15
13 20 11
14 15 9
14 18 5
15 22 7
16 17 11
17 22 14
18 22 6
19 20 8
20 21 7
21 22 14
