#
Processors:8
Tasks:20
# task computation cost on each processor
0 22 6 9 13 24 13 13 25 
1 37 22 44 24 22 15 39 45 
2 62 54 60 49 69 67 43 60 
3 83 95 110 31 54 118 86 50 
4 21 19 19 15 20 9 7 16 
5 41 48 45 40 23 18 43 41 
6 84 92 91 83 104 29 105 61 
7 15 38 36 45 24 42 44 22 
8 99 107 76 96 81 72 61 53 
9 15 11 6 15 24 17 28 20 
10 22 32 85 81 75 26 76 77 
11 33 58 94 57 44 81 27 55 
12 26 28 9 11 13 32 24 18 
13 14 11 6 18 15 16 5 14 
14 16 10 14 24 22 17 25 30 
15 13 13 4 14 14 17 15 4 
16 51 73 28 36 51 27 59 48 
17 56 60 55 33 45 19 36 51 
18 49 32 51 24 51 40 29 48 
19 27 24 29 25 11 19 22 16 
Dependencies:28
# from_task_id to_task_id weight
0 1 15
0 3 16
0 5 16
0 9 19
0 11 17
0 14 7
0 17 12
1 2 10
1 16 18
2 19 11
3 4 15
4 19 7
5 6 15
6 7 16
7 8 8
8 19 10
9 10 20
9 15 19
10 19 18
11 12 9
11 13 18
12 13 11
13 19 14
14 15 14
15 19 10
16 19 19
17 18 18
18 19 17
