
251	251	1,000000	0,333333		0,000000	0,000000	100,000000
230	282	1,226087	0,408696		89,565217	0,000000	30,869565
183	293	1,601093	0,533698		46,994536	10,382514	50,273224
186	258	1,387097	0,462366		53,225806	27,419355	60,752688
265	294	1,109434	0,369811		6,415094	9,811321	98,867925
226	303	1,340708	0,446903		15,486726	29,646018	71,238938
237	373	1,573840	0,524613		24,472574	48,101266	65,822785
215	317	1,474419	0,491473		28,837209	54,883721	43,255814
220	240	1,090909	0,363636		35,454545	9,090909	60,909091
182	276	1,516484	0,505495		2,197802	64,285714	57,692308
179	274	1,530726	0,510242		37,430168	27,932961	79,329609
